"name","serial","mac","publicIp","networkId","status","lanIp","networkName","networkTags","networkTimeZone","usingCellularFailover","wan1Ip","wan2Ip"
"CAMPUS-SFO-1.2-MV22-36d","Q2HV-MTFR-S4VN","ac:17:c8:62:09:e7","192.195.83.195","L_646829496481100388","online","192.168.128.16","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.1-MV22-36d-SC","Q2HV-TT5P-FDJ8","ac:17:c8:62:09:e4","192.195.83.195","L_646829496481100388","online","192.168.128.4","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.3-MV22-111d","Q2HV-GDV8-EV3L","ac:17:c8:62:09:e1","192.195.83.195","L_646829496481100388","online","192.168.128.12","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.8-MV12N","Q2EV-V4US-9NZU","34:56:fe:a4:10:a7","192.195.83.195","L_646829496481100388","online","192.168.128.25","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.6-MV12W-SC","Q2GV-88KF-A7LM","34:56:fe:a3:02:0a","192.195.83.195","L_646829496481100388","online","192.168.128.28","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-2.3-MV12W","Q2GV-BSX7-NNM7","34:56:fe:a3:02:16","192.195.83.195","L_646829496481100388","online","192.168.128.44","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.4-MV22-73.5d","Q2HV-98JE-GLVZ","ac:17:c8:62:0a:ce","192.195.83.195","L_646829496481100388","online","192.168.128.31","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"BRANCH-LON-MV12N-1D","Q2EV-JUTE-YRXW","34:56:fe:a4:04:74","192.195.83.195","L_646829496481087792","online","192.168.128.32","BRANCH-LON"," Branch_Offices ","Europe/London",,,
"DC-NA-R1-MX100-WS","Q2JN-FHJL-8KW9","00:18:0a:85:a3:94","198.27.154.100","L_646829496481098888","online",,"DATACENTER-NA"," Datacenters ","America/Chicago",false,"192.168.10.129","10.0.10.129"
"DC-NA-R1-MX100-P","Q2JN-RD78-XJNM","00:18:0a:85:d7:cc","198.27.154.100","L_646829496481098888","online",,"DATACENTER-NA"," Datacenters ","America/Chicago",false,"192.168.10.119","10.0.10.119"
"DC-NA-VPNC-MX84","Q2PN-DKTS-5LZA","e0:cb:bc:40:8a:80","198.27.154.100","N_646829496481143649","online",,"DATACENTER-NA-VPN_Concentrator"," Datacenters ","America/Chicago",false,"172.19.1.10",
"DC-NA-R1.2-MS220-24P","Q2KP-3QHY-H2KF","e0:55:3d:04:86:e9","198.27.154.100","L_646829496481098888","online","172.19.1.3","DATACENTER-NA"," Datacenters ","America/Chicago",,,
"DC-NA-R1-CORE-MS350-48","Q2XP-Q4HP-RRQ7","e0:55:3d:c5:a4:7c","198.27.154.100","L_646829496481098888","online","172.19.1.2","DATACENTER-NA"," Datacenters ","America/Chicago",,,
"Yolanda Delceambre Z3","Q2TN-CAUC-X4WS","e0:cb:bc:36:3a:ca","198.27.154.100","N_646829496481143883","online",,"Teleworker Yolanda Delcambre Z3"," Teleworkers ","America/Los_Angeles",false,"192.168.10.63",
"Maribel Perry Z3","Q2TN-HSKE-BMC7","e0:cb:bc:36:7d:b4","198.27.154.100","N_646829496481143884","online",,"Teleworker Maribel Perry Z3"," Teleworkers ","America/Los_Angeles",false,"192.168.10.64",
"DC-SA-R1-MX84","Q2PN-XS4A-SEFP","e0:cb:bc:42:95:c0","104.193.171.147","N_646829496481146602","online",,"DATACENTER-SA",,"America/Bogota",false,"172.16.200.98",
"RETAIL-SYD-MV12N-2D","Q2EV-D92Y-TX32","34:56:fe:a4:01:c2","192.195.83.195","L_646829496481091801","online","192.168.128.5","RETAIL-SYD"," Retail ","Australia/Sydney",,,
"DATACENTER-CA-vMX100","Q2AZ-SVA8-JX5P","0c:8d:db:5c:71:48","54.244.16.199","N_646829496481149212","online","172.31.41.85","DATACENTER-CA",,"America/Los_Angeles",,,
